id,color,codigo_color,codigo_tela,descripcion_tela,ancho_tela
47,BORGOÑA,47,TE00007953,SAND WASHD CDC 16MM PREVIEW RE'23 TROPICAL KYOTO ANTIQUE ECRU - RUST - MAROON 60CM,1.37
48,VINOTINTO,48,TE00007945,PRINTED VELVET PREVIEW RE'23 ORINOCO FLOW RED WINE-CELESTE 150CM,
49,VERDE TURQUESA,49,TEN0007779,LYCRA RIB BRISTOL 30AH LEATHER -CAMEL,1.4
50,AMARILLO,50,TE00007927,JACQUARD RODI LISA RE'23 ORINOCO FLOW ECRU-BLACK-GREEN 150CM CORRECT OK,1.44
51,PALE ROSE,51,TEN0006021,LYCRA VITA 2196 RIAD,1.5
52,RUST,52,TE00007961,CDC 16MM CRK16 RATTI RE´23 BEADED STRIPES Orange- blue 30cm,
53,CITRINE,53,TE00005780,CHARMEUSE WINE PV1000 173/44 45,1.14
54,VERDE JADE,54,TEN0003713,SATIN BATTI 97 TI157 GRANA PALI EST 2CARAS NECTA,1.5
55,VERDE,55,TE00007970,LINEN LIK006 RATTI RE'23 KYOTO MEETS KUBA HONEY PEACH-GREEN-LILAC 80CM,
56,VERDE CLARO,56,TE00007941,PRINTED SEQUIN PREVIEW RE'23 TROPICAL KYOTO BROWN-PINK-LIGHT YELLOW 80CM,
57,VERDE LIMON,57,TE00007967,LINEN LIK006 RATTI RE'23 CONGO BEATS ANTIQUE ECRU- GREEN- BLACK 60CM,
58,VERDE OLIVA,58,TE00000486,TERCIOPELO NEGRO STRETCH TEDRO 099,1.45
59,VERDE PETROLEO,59,TEN0007193,LYCRA TABITA ECO BLANCO - TINTURADA TERRACOTA,1.49
60,VERDE PISTACHO,60,TE00007936,LYCRA GEORGETTE PREVIEW RE'23 KASURI TRIBAL ORANGE CELESTE BLUE 50CM,
61,VERDE AGUAMARINA,61,TE00000360,LYCRA WHITE FLUITY COL.320 TTM5370,1.5
62,VERDE MILITAR,62,TE00000014,ALG. POPLIN ROJO VINO DUBAI CM002WNE,1.32
63,AZUL,63,TE00007479,SILK CHARMEUS PV1000 PREVIEW 189 BROWN,1.14
64,AZUL TURQUEZA,64,TEN0007220,RIB ARMSTRONG CO711153 CAMEL,1
65,AZUL PETROLEO,65,TE00000148,SILK CHARMEUSE PV1000 PR11743 COL JO RUST,1.14
66,AZUL REY,66,TE00007920,RUBENS RCS CB LISA RE'23 CONGO BEATS TERRACOTA- BLACK-BROWN 60CM CORRECT,1.42
67,AZUL TURQUI,67,TE00007468,COTTON POPLIN 21-1802 STYLEM 301 MAGENTA,1.32
68,AZUL VIOLETA,68,TE00007773,LYCRA W0639EKO CLERICI RE'23 SWIM PALM DE JOUY BLACK ROSE 70 CM,1.5
69,AZUL ROYAL,69,TEN0006175,SATIN BATTI COL CAMEL OP F ANTIFLUIDO,1.5
70,AZUL AGUAMARINA,70,TE00005860,POLY CREPE ART0230610240 COL810 WINE,1.37
71,AZUL COBALTO,71,TE00007466,COTTON POPLIN 21-1802 STYLEM 355 ORANGE,1.32
72,AZUL CLARO,72,TE00000147,CHARMEUSE PV1000 186 CAMEL,1.14
73,GRIS,73,TE00007783,COTTON POPLIN MANCHESTER LISA RE'23 SWIM BAMBARA TRIBAL BLACK - ECRU 31 CM,1.48
74,GRIS CLARO,74,TE00007822,LINEN LIK006 RATTI RE'23 SWIM KUNA DOTS TERRACOTA - ECRU 150 CM CORRECT OK,1.47
75,GRIS MEDIO,75,TE00000450,SATIN RAYON TWILL PR30674 BLUSH OPTION A,1.34
76,GRIS OSCURO,76,TEN0006167,SATIN BATTI 97 B2208 BROWN  ESTAMPADO A DOS CARAS,1.5
77,GRIS PLOMO,77,TEN0003773,SATIN BATTI COL ECRU OP C JO 04 CREAM,1.5
78,CARBON,78,TEN0007778,LYCRA DORE ORO LUREX ARTE: 313909 ORANGE,1.5
79,GRIS MEDIO JASPEADO,79,TEN0001828,LYCRA NEGRA TABITA U985001,1.49
80,COBRE,80,TE00007900,SUSTAINABLE JACQUARD 247413 RE' 23 RTW CANEPA BURGUNDY - PINK,
81,DORADO,81,TE00007944,PRINTED SEQUIN PREVIEW RE´23 BEADED STRIPES Orange- blue 30cm,
82,PLATEADO,82,TE00000011,ALGODON ACTION POPELINA ROJO POPPY 13886,1.35
83,OCRE,83,TE00007943,PRINTED SEQUIN PREVIEW RE´23 BEADED STRIPES Green- orange 30cm,
84,BRONCE,84,TE00007262,TERRY 2332Z SPUGNA BETA BLANCO,1.45
85,TRANSPARENTE,85,TE00007914,GOLDEN WAX POPLIN MEIER-G LISA RE'23 KASURI TRIBAL BROWN LIGHT PEACH 20CM,1.48
86,MULTICOLOR,86,TE00007903,ECO POPLIN MANCHESTER LISA RE'23 CONGO BEATS YELLOW-PINK- GREEN 60CM,1.48
87,VERDE ESMERALDA,87,TE00007973,ORGANZA GAZAR SE0276C RATTI RE'23 TROPICAL KYOTO FUCSIA - DARK MAGENTA 60CM,1.53
88,PETROLEO,88,TE00007623,SOLID JACQUARD VISCOSE ART30727 FSC TARONI FW'22 PALM TIE BROWN 701077/0163 7.5CM,1.36
89,CURUBA,89,TE00007978,VISCOSE CDCS VK078N RATTI RE'23 KASURI TRIBAL MAROON MUSTARD 20CM,
90,AZUL ELECTRICO,90,TE00007980,PRINTED JERSEY INKE022 ARGENTI RE' 23 ANKARAN DRUMBEATS OLIVEGREEN 10cm,
91,TURQUEZA,91,TE00007940,LYCRA GEORGETTE PREVIEW RE´23 BEADED STRIPES Green- orange 30cm,
92,NUDE,92,TE00007624,SOLID JACQUARD VISCOSE ART30727 FSC TARONI FW'22 PALM TIE ECRU 701077/0112 7.5CM,1.36
93,VAINILLA OAK,93,TE00007981,PRINTED JERSEY INKE022 ARGENTI RE' 23 ANKARAN DRUMBEATS PURPLE 10cm,
94,CEDA LIME,94,TEN0007240,LYCRA RIB BRISTOL 7931-BIANCO,1.4
95,AZUL OSCURO,95,TEN0007780,LYCRA RIB BRISTOL 4AHT FORCE - MILITARY GREEN,1.40
96,MARSALA,96,TE00007904,ECO POPLIN MANCHESTER LISA RE'23 KASURI TRIBAL DARK MAROON GREEN 20CM,1.48
97,VERDE MENTA,97,TE00007551,ELASTIC CREPE 027S0007300 STYLEM 610 RUST,1.37
98,PLUM,98,TE00007910,ECO POPLIN MANCHESTER LISA RE´23 RTW AFRICA LATINA BLACK-ECRU 25 CM,1.48
99,TEAL,99,TE00007909,ECO POPLIN MANCHESTER LISA RE´23 RTW AFRICA LATINA 25 CM GREEN-ECRU,1.48
100,COPPERTAN,100,TE00007954,SAND WASHD CDC 16MM PREVIEW RE´23 RTW AFRICA LATINA BLACK-PINK 25 CM,1.37
101,DANDELION,101,TE00007976,VISCOSE CDCS VK078N RATTI RE'23 CONGO BEATS YELLOW-PINK- GREEN 60CM,
102,CINNAMON,102,TE00007948,PRINTED VELVET PREVIEW RE'23 TROPICAL KYOTO GREEN-YELLOW 80CM,
103,CAMOUFLAGE,103,TE00007917,GOLDEN WAX POPLIN MEIER-G LISA RE´23 ANKARAN DRUMBEATS RED 30cm,1.48
104,CELESTE,104,TEN0005841,CREPE COL AZUL TURQUI 54 DUO BLUE,
105,FIRE RED,105,TEN0005611,ALGODON NEGRO NEWCOVET 00 0999,
106,PEACHNOUGAT,106,TE00005716,SOLID COTTON VOILE SI MUS4100N 70300 LIGHT CAMEL,1.45
107,ROSETTE,107,TE00007600,HAMMERED CHARMEUS PREVIEW FW'22 WILD FAIR BLACK-YELLOW-BLUE 150CM,1.37
108,DESERT MIST,108,TE00008053,SOLID COTTON ORANGE - BILITIS ORGANIC H121800 COL.000000 01903 - HAUSAMMANN -,1.47
109,MONK ORANGE,109,TE00005709,SOLID COTTON VOILE SI MUS 4100N VAR1 COL.66400 ECRU,1.45
110,SOFT OLIVE,110,TE00005763,CHARMEUSE DE SEDANEGRO PV1000 196 19MM,1.11
111,PORCELAIN/GREEN,111,TE00007794,COTTON POPLIN MANCHESTER LISA RE'23 SWIM COCONUT WAX TOBACCO -MINT 120CM,1.48
112,CASIS,112,TE00007806,COTTON VOILE CAMBRIDGE LISA RE'23 SWIM MOLA PALM RED - BLUE 70CM,1.42
113,CAMEL/NECTARINE,113,TE00007793,COTTON POPLIN MANCHESTER LISA RE'23 SWIM COCONUT WAX RUST- PEACH 120CM,1.48
114,CHESNUT,114,TE00003385,JERSEY PV9800 MJ21 BLACK,1.52
115,MOROCCAN,115,TE00003152,LYCRA BAHIA 33474 195217 194006 NEGRO,1.56
116,EARTH,116,TE00008036,PRINTED LYCRA W0551EKO CLERICI RE'23 SWIM #42 MAGIA Y SOL ONEPIECE,1.5
117,CAMPARI,117,TE00006408,JACQUARD ART30727 CANOAS LEMONADE DIS7007180134 3,1.35
118,SOFT PEACH,118,TE00007788,COTTON POPLIN MANCHESTER LISA RE'23 SWIM KUNA DOTS DEEP BLUE - ORANGE 150 CM,1.48
119,GOLD ROSE,119,TE00005715,"SOLID COTTON VOILE SI MUS 4100N VAR,10 BLACK",1.45
120,VANILLA,120,TEN0006822,LYCRA BAHIA 33474 COL194006 NEGRO,1.56
121,SOFT MONK,121,TEN0003527,LYCRA VITA 390 COL9240 NERO NEGRO,1.5
122,ALMOND,122,TE00001301,CREPE UNICOLOR S89000 CREMA TH02522,1.38
123,ECRU,123,TE00004922,CREPE DE CHINE IVORY PV1200W PR28211 16MM WIDE,1.39
124,DESERT ROSE,124,TEN0007773,LYCRA SUMATRA 4223/BOLERO WINE,1.5
125,CHARCOAL,125,TE00007842,LYCRA VITA FY0427J RATTI RE'23 SWIM LEOPARD PRINT,1.46
126,MORROCAN BLUE,126,TEN0007061,LYCRA TABITA U 235503 NUDE,1.49
127,PEWTER,127,TE00007836,LYCRA VITA FY0427J RATTI RE'23 SWIM BEADED STRIPES WINE - TERRACOTA 30 CM,1.46
128,NECTARINE,128,TE00007831,PRINTED TERRY FY0446 RATTI RE'23 SWIM COCONUT WAX ECRU- ROSE 15CM,1.4
129,COPPER,129,TE00007898,"ACETATE MATTJERSEY 13882, REF. 01625 - HENITEX - MILITARY GREEN 9H65",1.35
130,OFF WHITE,130,TE00007267,LYCRA VITA RATTI MOROCCO CHOCOLATE TU7481 VAR 001,1.5
